Name,Team(s),G,AB,H,2B,3B,HR,BB,SB,AVG,OBP,SLG,BFW,G2,PO,A,E,DP,AVG3,Games,Played
W. Contreras,MIL,N,155,595,167,37,2,23,78,9,0.281,0.365,0.466,4.3,120,1054,37,8,2,0.993,"C120,DH35"
Salvador Perez,KC,A,158,590,160,28,0,27,44,0,0.271,0.33,0.456,1.8,91,730,25,5,7,0.993,"C91,1B49,DH24"
Yainer Diaz,HOU,A,148,585,175,29,3,16,24,2,0.299,0.325,0.441,1.5,102,919,36,4,5,0.996,"C102,DH37,1B11"
Adley Rutschman,BAL,A,148,571,143,21,1,19,58,1,0.25,0.318,0.391,0.8,103,874,37,4,4,0.996,"C103,DH45"
Cal Raleigh,SEA,A,153,546,120,16,0,34,70,6,0.22,0.312,0.436,3.4,135,1138,51,6,8,0.995,"C135,DH19"
Shea Langeliers,OAK,A,137,482,108,18,2,29,41,4,0.224,0.288,0.45,1.7,131,1007,51,5,5,0.995,"C131,DH3"
Logan O'Hoppe,ANA,A,136,479,117,17,1,20,33,2,0.244,0.303,0.409,0.5,127,962,41,6,0,0.994,"C127,DH8"
Will Smith,LA,N,128,476,118,24,2,20,51,1,0.248,0.327,0.433,2.7,121,1000,58,8,3,0.992,"C121,DH3"
Jonah Heim,TEX,A,131,459,101,12,1,13,26,1,0.22,0.267,0.336,-2.2,119,967,37,7,5,0.993,"C119,DH13"
Keibert Ruiz,WAS,N,127,459,105,21,0,13,16,3,0.229,0.26,0.359,-0.7,116,921,39,2,8,0.998,"C116,DH10"
Tyler Stephenson,CIN,N,138,457,118,26,1,19,48,1,0.258,0.338,0.444,1.1,127,945,32,4,4,0.996,"C127,DH10"
Connor Wong,BOS,A,126,447,125,24,1,13,28,8,0.28,0.333,0.425,1,106,817,41,4,3,0.995,"C106,1B14,DH10,2B6,OF1"
Ryan Jeffers,MIN,A,122,412,93,22,0,21,32,3,0.226,0.3,0.432,0,86,749,31,6,0,0.992,"C86,DH34"
Patrick Bailey,SF,N,121,401,94,16,1,8,39,4,0.234,0.298,0.339,0.7,115,904,55,3,7,0.997,"C115,DH3"
J.T. Realmuto,PHI,N,99,380,101,18,1,14,27,2,0.266,0.322,0.429,1.6,99,899,34,5,5,0.995,C99
Korey Lee,CHI,A,125,377,79,14,1,12,17,6,0.21,0.244,0.347,-1.6,113,824,33,4,4,0.995,"C113,DH9"
Bo Naylor,CLE,A,123,354,71,10,2,13,29,6,0.201,0.264,0.35,-0.5,115,894,36,6,4,0.994,"C115,DH4"
Austin Wells,NY,A,115,354,81,18,1,13,47,1,0.229,0.322,0.395,1.1,110,892,33,11,5,0.988,"C110,DH2"
Alejandro Kirk,TOR,A,103,340,86,19,1,5,35,0,0.253,0.319,0.359,1.4,93,706,46,7,6,0.991,"C93,DH6"
Freddy Fermin,KC,A,111,339,92,14,0,6,23,2,0.271,0.319,0.366,1.5,91,634,35,5,2,0.993,"C91,DH22"
Miguel Amaya,CHI,N,117,328,76,13,2,8,23,0,0.232,0.288,0.357,-0.5,116,856,31,6,3,0.993,C116
Elias Diaz,COL,"N-SD, N",96,325,86,20,0,6,20,0,0.265,0.313,0.382,-0.7,79,467,29,4,1,0.992,"C79,DH16"
Jake Rogers,DET,A,102,310,61,16,1,10,22,1,0.197,0.255,0.352,0.3,92,744,29,3,4,0.996,"C92,DH8"
F. Alvarez,NY,N,100,308,73,14,2,11,30,1,0.237,0.307,0.403,0.7,96,775,25,6,1,0.993,"C96,DH3"
Nick Fortes,MIA,N,110,308,70,16,0,4,11,0,0.227,0.259,0.318,-0.8,109,831,38,9,3,0.99,C109
Travis d'Arnaud,ATL,N,99,307,73,16,0,15,24,1,0.238,0.302,0.436,0,89,716,25,3,3,0.996,C89
Gabriel Moreno,ARI,N,97,305,81,18,1,5,41,3,0.266,0.353,0.38,0.4,93,636,31,2,4,0.997,"C93,3B1"
W. Contreras,STL,N,84,301,79,17,0,15,45,4,0.262,0.38,0.468,1.3,51,359,21,3,1,0.992,"C51,DH33"
C. Vazquez,MIN,A,93,294,65,10,0,7,11,3,0.221,0.248,0.327,-1.2,86,772,29,4,2,0.995,"C86,DH3,3B3,1B1"
Ben Rortvedt,TB,A,112,290,66,13,0,3,34,1,0.228,0.317,0.303,-1,111,755,26,9,2,0.989,"C111,P1"
Carson Kelly,DET,"A-TEX, A",91,281,67,9,1,9,25,0,0.238,0.313,0.374,0.7,84,642,33,3,8,0.996,"C84,DH8"
Danny Jansen,TOR,"A-BOS, A",92,278,57,13,0,9,40,0,0.205,0.309,0.349,-0.6,82,619,18,6,1,0.991,"C82,DH7"
Luis Campusano,SD,N,91,277,63,13,0,8,20,0,0.227,0.281,0.361,-0.1,86,697,24,3,0,0.996,"C86,1B2"
Joey Bart,PIT,N,80,253,67,11,0,13,22,0,0.265,0.337,0.462,0.3,69,498,23,4,3,0.992,"C69,DH11"
Kyle Higashioka,SD,N,84,246,54,10,1,17,15,2,0.22,0.263,0.476,0,83,669,20,9,1,0.987,C83
Victor Caratini,HOU,A,87,245,66,8,1,8,23,0,0.269,0.336,0.408,0.3,58,489,23,3,1,0.994,"C58,1B11,DH3"
Jacob Stallings,COL,N,82,243,64,17,1,9,27,0,0.263,0.357,0.453,0.9,76,506,24,7,1,0.987,"C76,DH2"
Sean Murphy,ATL,N,72,233,45,5,1,10,27,0,0.193,0.284,0.352,1.3,69,709,27,5,3,0.993,C69
Ivan Herrera,STL,N,72,229,69,12,1,5,25,5,0.301,0.372,0.428,1.4,56,476,17,3,2,0.994,"C56,DH12"
Yasmani Grandal,PIT,N,72,215,49,10,0,9,24,1,0.228,0.304,0.4,-0.4,71,568,9,7,0,0.988,"C71,1B2"
James McCann,BAL,A,66,214,50,9,0,8,13,1,0.234,0.279,0.388,-0.1,65,528,28,8,2,0.986,"C65,P1"
Jose Trevino,NY,A,74,209,45,5,0,8,20,1,0.215,0.288,0.354,-0.4,71,552,22,6,2,0.99,"C71,P2"
Pedro Pages,STL,N,68,202,48,3,2,7,13,2,0.238,0.281,0.376,-0.3,66,489,28,3,1,0.994,"C66,1B1"
Garrett Stubbs,PHI,N,56,164,34,4,1,1,17,5,0.207,0.296,0.262,-0.5,52,417,16,2,2,0.995,"C52,P4"
Matt Thaiss,ANA,A,57,157,32,9,0,2,28,3,0.204,0.323,0.299,-0.7,46,313,10,4,1,0.988,"C46,DH6"
Austin Barnes,LA,N,54,140,37,3,0,1,14,3,0.264,0.331,0.307,-0.5,45,368,10,5,2,0.987,"C45,DH3,2B2"
Kyle McCann,OAK,A,54,140,33,4,0,5,16,0,0.236,0.318,0.371,-0.3,44,288,12,4,2,0.987,"C44,DH6"
Alex Jackson,TB,A,58,139,17,7,0,3,12,1,0.122,0.201,0.237,0,58,444,18,6,2,0.987,C58
Reese McGuire,BOS,A,53,139,29,3,0,3,13,3,0.209,0.28,0.295,0.3,48,381,10,6,2,0.985,"C48,DH1"
Luke Maile,CIN,N,55,135,24,4,0,2,13,2,0.178,0.268,0.252,0.5,49,402,18,1,0,0.998,"C49,P3,DH2"
Martin Maldonado,CHI,A,48,135,16,3,0,4,8,0,0.119,0.174,0.23,-2.3,48,378,11,2,0,0.995,C48
Austin Hedges,CLE,A,66,132,20,3,0,2,6,2,0.152,0.203,0.22,-0.4,65,423,15,3,2,0.993,"C65,P1"
Luis Torrens,NY,N,48,118,27,8,0,3,9,0,0.229,0.292,0.373,0.7,44,295,20,1,2,0.997,"C44,DH2,P1"
Riley Adams,WAS,N,41,116,26,5,1,2,10,1,0.224,0.292,0.336,-0.8,40,279,10,5,2,0.983,"C40,DH1"
Curt Casali,SF,N,41,108,21,3,0,1,13,0,0.194,0.293,0.25,-0.1,41,345,20,7,0,0.981,C41
Henry Davis,PIT,N,37,104,15,4,0,1,13,0,0.144,0.242,0.212,-0.8,34,260,9,2,3,0.993,"C34,DH1"
Jose Herrera,ARI,N,42,97,22,4,1,1,9,0,0.227,0.29,0.32,0.3,40,314,7,1,1,0.997,"C40,DH1,3B1"
Yan Gomes,CHI,N,34,91,14,2,0,2,2,0,0.154,0.179,0.242,-0.8,34,245,6,0,0,1,C34
Andrew Knizner,TEX,A,37,90,15,1,0,1,1,0,0.167,0.183,0.211,-1.1,34,247,5,2,1,0.992,"C34,P2,DH1"
Dillon Dingler,DET,A,27,84,14,5,2,1,3,0,0.167,0.195,0.31,-1.4,27,168,7,1,0,0.994,C27
Ali Sanchez,MIA,N,31,84,14,2,0,0,4,2,0.167,0.211,0.19,-0.4,30,239,12,2,2,0.992,C30
Tucker Barnhart,ARI,N,31,81,14,3,0,0,13,1,0.173,0.287,0.21,-0.8,31,214,9,2,1,0.991,"C31,P1"
V. Guerrero,TOR,A,159,616,199,44,1,30,72,2,0.323,0.396,0.544,4.5,121,873,70,10,90,0.99,"1B121,DH29,3B12"
Pete Alonso,NY,N,162,608,146,31,0,34,70,3,0.24,0.329,0.459,0.9,161,1179,99,7,117,0.995,"1B161,DH1"
Matt Olson,ATL,N,162,600,148,37,1,29,71,0,0.247,0.333,0.457,0.7,162,1259,105,6,125,0.996,1B162
Paul Goldschmidt,STL,N,154,599,147,33,1,22,47,11,0.245,0.302,0.414,-1.1,150,1216,102,5,137,0.996,"1B150,DH5"
Jake Cronenworth,SD,N,155,577,139,29,3,17,61,5,0.241,0.324,0.39,-0.1,85,594,45,4,63,0.994,"1B85,2B70,DH5"
Andrew Vaughn,CHI,A,149,570,140,30,1,19,38,2,0.246,0.297,0.402,-0.9,122,816,76,4,75,0.996,"1B122,DH27"
Yandy Diaz,TB,A,145,563,158,31,1,14,50,0,0.281,0.341,0.414,-0.8,112,784,45,9,67,0.989,"1B112,DH30"
Josh Naylor,CLE,A,152,563,137,27,0,31,58,6,0.243,0.32,0.456,-0.5,137,1008,69,9,110,0.992,"1B137,DH14"
Bryce Harper,PHI,N,145,550,157,42,0,30,76,7,0.285,0.373,0.525,3,141,1050,95,5,99,0.996,"1B141,DH3"
Freddie Freeman,LA,N,147,542,153,35,2,22,78,9,0.282,0.378,0.476,3.4,147,1022,115,4,93,0.996,1B147
Jake Burger,MIA,N,137,535,134,23,1,29,31,1,0.25,0.301,0.46,-1,69,380,34,2,32,0.995,"1B69,3B59,DH26"
Carlos Santana,MIN,A,150,521,124,26,0,23,65,4,0.238,0.328,0.42,-0.2,146,998,92,4,67,0.996,"1B146,DH3"
Nolan Schanuel,ANA,A,147,519,130,19,0,13,68,10,0.25,0.343,0.362,-0.8,144,1018,76,7,127,0.994,"1B144,DH1"
Michael Busch,CHI,N,152,496,123,28,2,21,63,2,0.248,0.335,0.44,0.2,142,940,77,4,68,0.996,"1B142,DH3,2B3,3B1"
V. Pasquantino,KC,A,131,496,130,30,2,19,40,1,0.262,0.315,0.446,0.1,103,805,71,2,76,0.998,"1B103,DH25"
Nathaniel Lowe,TEX,A,140,486,129,16,1,16,71,2,0.265,0.361,0.401,0.7,138,983,92,5,73,0.995,"1B138,DH2"
Christian Walker,ARI,N,130,479,120,26,0,26,55,2,0.251,0.335,0.468,0.4,129,977,76,2,104,0.998,1B129
Ryan Mountcastle,BAL,A,124,473,128,30,2,13,27,3,0.271,0.308,0.425,0.1,114,860,74,3,57,0.997,"1B114,DH6"
Rhys Hoskins,MIL,N,131,449,96,14,0,26,53,3,0.214,0.303,0.419,-1,94,602,55,3,52,0.995,"1B94,DH37"
Ryan O'Hearn,BAL,A,142,443,117,21,3,15,46,3,0.264,0.334,0.427,0,55,304,19,5,28,0.985,"1B55,DH54,OF27"
Michael Toglia,COL,N,116,399,87,14,3,25,54,10,0.218,0.311,0.456,-0.6,107,847,69,8,96,0.991,"1B107,OF15"
Rowdy Tellez,PIT,N,132,383,93,18,0,13,31,1,0.243,0.299,0.392,-1.4,124,740,61,2,76,0.998,"1B124,P3"
Connor Joe,PIT,N,123,364,83,22,1,9,44,2,0.228,0.32,0.368,-0.6,79,370,36,1,45,0.998,"1B79,OF49,DH3"
Jon Singleton,HOU,A,119,355,83,13,1,13,47,0,0.234,0.321,0.386,-0.3,94,568,64,8,60,0.988,"1B94,DH12"
S. Torkelson,DET,A,92,342,75,21,1,10,33,0,0.219,0.295,0.374,-1.2,90,701,58,4,59,0.995,"1B90,DH2"
Anthony Rizzo,NY,A,92,337,77,12,0,8,27,0,0.228,0.301,0.335,-0.7,92,602,74,3,58,0.996,1B92
LaMonte Wade,SF,N,117,331,86,16,0,8,62,2,0.26,0.38,0.381,1.7,94,650,77,1,59,0.999,"1B94,OF12,DH4"
Spencer Horwitz,TOR,A,97,328,87,19,0,12,42,0,0.265,0.357,0.433,0.6,41,236,21,1,24,0.996,"1B41,2B39,DH18"
Jake Bauers,MIL,N,117,302,60,9,2,12,39,13,0.199,0.301,0.361,-1.2,76,424,38,5,42,0.989,"1B76,DH17,OF16,P4"
Joey Meneses,WAS,N,76,281,65,11,0,3,21,2,0.231,0.291,0.302,-1.6,50,358,29,0,39,1,"1B50,DH25"
Tyler Nevin,OAK,A,87,245,50,10,0,7,25,1,0.204,0.288,0.331,-1.1,38,201,13,2,18,0.991,"1B38,OF30,3B25,DH5"
Jonah Bride,MIA,N,71,232,64,10,0,11,30,0,0.276,0.357,0.461,0.1,38,236,20,2,29,0.992,"1B38,DH19,3B13,2B3"
Juan Yepez,WAS,N,62,226,64,15,0,6,18,2,0.283,0.335,0.429,-0.3,47,351,19,2,43,0.995,"1B47,DH15"
Elehuris Montero,COL,N,67,224,46,10,0,4,20,0,0.205,0.267,0.304,-2.3,54,453,21,3,47,0.994,"1B54,DH12"
