Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Ian Happ,30,CHC,NL,1.0,35,169,147,28,42,9,0,2,16,1,1,21,29,.286,.373,.388,.761,117,.352,125,57,3,0,0,1,0,7,,happia01
2,Jarren Duran,28,BOS,AL,0.5,35,168,155,19,42,9,4,2,19,11,3,10,31,.271,.321,.419,.741,107,.335,106,65,1,2,0,1,0,7/89,,duranja01
3,Rafael Devers,28,BOS,AL,0.8,36,165,136,22,34,11,0,5,23,0,0,26,44,.250,.370,.441,.811,128,.364,133,60,2,1,0,2,2,D,,deverra01
4,Kyle Tucker,28,CHC,NL,1.6,35,163,137,30,40,8,2,9,30,9,0,25,19,.292,.399,.577,.975,174,.427,169,79,3,0,0,1,3,9/D,,tuckeky01
5,Corbin Carroll,24,ARI,NL,1.3,34,160,146,26,41,8,4,9,26,5,1,10,43,.281,.344,.575,.919,152,.394,147,84,1,4,0,0,1,9/H,,carroco02
6,Alex Bregman,31,BOS,AL,2.1,35,159,139,25,44,13,0,8,27,1,1,15,29,.317,.396,.583,.979,172,.421,175,81,1,4,0,1,1,5,,bregmal01
7,Lars Nootbaar,27,STL,NL,1.4,34,158,131,23,32,7,0,5,18,4,1,26,24,.244,.373,.412,.786,121,.360,125,54,3,1,0,0,2,7/9D8H,,nootbla01
8,Francisco Lindor,31,NYM,NL,0.8,34,157,138,22,40,5,0,6,19,3,1,11,24,.290,.357,.457,.813,133,.362,134,63,1,5,0,3,0,6,,lindofr01
9,Pete Alonso,30,NYM,NL,2.4,35,156,125,25,43,13,1,8,31,0,1,25,24,.344,.468,.656,1.124,220,.472,216,82,6,5,0,1,1,3,,alonspe01
10,Bo Bichette,27,TOR,AL,0.4,34,155,146,13,42,11,0,1,14,4,2,6,22,.288,.323,.384,.706,102,.317,102,56,2,2,0,1,1,6,,bichebo01
11,Juan Soto,26,NYM,NL,1.2,35,155,129,26,33,8,0,5,14,2,0,25,23,.256,.374,.434,.808,133,.372,140,56,6,0,0,1,2,9/D,,sotoju01
12,James Wood,22,WSN,NL,1.2,35,155,132,21,36,9,0,9,21,5,2,22,40,.273,.381,.545,.926,161,.402,161,72,1,1,0,0,0,7/D,,woodja03
13,Willy Adames,29,SFG,NL,0.0,35,154,135,20,31,6,0,4,18,2,2,17,36,.230,.312,.363,.675,96,.304,98,49,1,0,0,2,0,6/D,,adamewi01
14,Bryce Harper,32,PHI,NL,1.0,34,154,128,20,30,6,0,6,17,6,0,26,31,.234,.364,.422,.786,119,.356,117,54,2,0,0,0,2,3/D,,harpebr03
15,Bryan Reynolds,30,PIT,NL,-0.5,34,154,138,13,32,5,0,4,17,3,2,13,42,.232,.299,.355,.654,83,.288,77,49,4,1,0,2,1,9D,,reynobr01
