Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Garrett Crochet*,26,BOS,AL,1.3,3,2,.600,2.02,8,8,0,0,0,0,49.0,32,14,11,3,20,0,56,0,1,0,196,206,2.81,1.061,5.9,0.6,3.7,10.3,2.80,,crochga01
2,Logan Webb,28,SFG,NL,1.2,4,2,.667,2.61,8,8,0,0,0,0,48.1,45,15,14,1,13,0,56,0,0,1,195,147,1.83,1.200,8.4,0.2,2.4,10.4,4.31,,webblo01
3,MacKenzie Gore*,26,WSN,NL,1.5,2,3,.400,3.33,8,8,0,0,0,0,46.0,40,17,17,6,13,0,68,1,0,2,187,123,2.72,1.152,7.8,1.2,2.5,13.3,5.23,,gorema01
4,Freddy Peralta,29,MIL,NL,1.8,4,2,.667,2.18,8,8,0,0,0,0,45.1,32,11,11,5,15,0,48,1,0,1,181,189,3.45,1.037,6.4,1.0,3.0,9.5,3.20,,peralfr01
5,Max Fried*,31,NYY,AL,1.4,6,0,1.000,1.01,7,7,0,0,0,0,44.2,31,10,5,2,11,0,39,4,0,2,181,394,2.92,0.940,6.2,0.4,2.2,7.9,3.55,,friedma01
6,Shota Imanaga*,31,CHC,NL,1.1,3,2,.600,2.82,8,8,0,0,0,0,44.2,35,15,14,7,14,0,34,0,0,0,181,142,4.53,1.097,7.1,1.4,2.8,6.9,2.43,,imanash01
7,Seth Lugo,35,KCR,AL,1.1,3,3,.500,3.07,7,7,0,0,0,0,44.0,34,16,15,7,12,1,34,1,0,2,171,135,4.48,1.045,7.0,1.4,2.5,7.0,2.83,,lugose01
8,Zack Wheeler,35,PHI,NL,1.2,2,1,.667,3.48,7,7,0,0,0,0,44.0,35,17,17,7,9,0,57,2,0,0,174,120,3.30,1.000,7.2,1.4,1.8,11.7,6.33,,wheelza01
9,Luis Severino,31,ATH,AL,1.8,1,3,.250,3.30,7,7,0,0,0,0,43.2,38,17,16,4,13,1,33,1,0,0,182,123,3.71,1.168,7.8,0.8,2.7,6.8,2.54,,severlu01
10,Hunter Brown,26,HOU,AL,1.7,5,1,.833,1.67,7,7,0,0,0,0,43.0,28,9,8,1,10,0,49,0,0,0,158,235,1.79,0.884,5.9,0.2,2.1,10.3,4.90,,brownhu01
